Site ID,Site Name,Area,Regional,Emin40 (kWh),Emax (kWh),Kota / Kabupaten
BDG699,DUNGUSLEMBU,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
CMI036,KARANGMEKAR,Area 2,R04_Jawa Barat,220.0,3960.0,SOREANG
BDG701,NEGLASARIBDG,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDS119,KPPINTUSARI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB146,LAKSANAMEKAR,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB153,TATARLARANGTAPA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG792,CIBURUY,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB135,JLMAROKO,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB137,KPCIBENDA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB141,KPCIHURANG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI039,UTAMACIMAHI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB147,KPTEGALEGA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB148,PASIRPANJANG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI082,BALAIKOTACMI,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI107,BMCITEUREUP,Area 2,R04_Jawa Barat,920.0,16560.0,SOREANG
BDB144,PASIRTEUREUP,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDG509,GAMBUNG,Area 2,R04_Jawa Barat,660.0,11880.0,SOREANG
BDG601,DSCELAK,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDB237,CIPADANGMANAHDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
CMI042,SUDIRMANCMH,Area 2,R04_Jawa Barat,,,SOREANG
CMI042,TSEL-CMI042-MTEL,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDS428,BUMIASRI,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDG577,CIHAMIRU,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
BDG576,DSCITALEM,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
CMI041,KLMASTURICMH,Area 2,R04_Jawa Barat,528.0,9504.0,SOREANG
CMI040,MINTAREJA,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
BDB125,KPKEPUH,Area 2,R04_Jawa Barat,308.0,5544.0,SOREANG
BDS176,KETAPANG,Area 2,R04_Jawa Barat,424.0,7632.0,SOREANG
SUB597,DSCIKUJANGDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB602,KPSUKAHURIPDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB603,DSTANJUNGRASATBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB611,KPMANALANGUDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB616,KPSABONGDMT,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
SUB618,DSTANJUNGWANGITBG,Area 2,R04_Jawa Barat,424.0,7632.0,SUBANG
