Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
GRT014,KARANGMULYA,Februari,Tsel Postpaid,23000,112963,629,76,21002,3761913,0,11
GRT013,KADUNGORA,Februari,Tsel Postpaid,23000,3021,1053,104,48301,4670197,0,9
COD094,CMBNUSAHERANGKUNINGANM,Februari,Tsel Postpaid,7700,2663,0,0,0,1500400,0,4
GRT009,KERSAMANAH,Februari,Tsel Postpaid,23000,3821,1027,138,42455,5915963,0,12
GRT004,MALANGBONG,Februari,Tsel Postpaid,23000,3137,827,67,38701,4849312,242,9
GRT012,CIPEUNDEUY,Februari,Tsel Postpaid,10600,2774,730,110,26053,4287759,165,7
GRT051,SAMPIREUN,Februari,Tsel Postpaid,10600,1723,285,23,14697,2663494,0,6
GRT046,Soka Bakti,Februari,Tsel Postpaid,10600,1363,284,19,11761,2106548,0,9
GRT045,Leuwi Goong,Februari,Tsel Postpaid,16500,2698,712,104,34971,4171497,301,8
GRT044,Ngamplang,Februari,Tsel Postpaid,10600,1929,557,53,20878,2982244,0,5
GRT043,SMP2TRGNGKDL,Februari,Tsel Postpaid,16500,2346,1072,87,33305,3626143,21,7
GRT081,BABAKAN,Februari,Tsel Postpaid,10600,2041,377,36,17760,3154450,0,7
GRT082,Mekar jaya,Februari,Tsel Postpaid,10600,2230,343,36,18342,3447570,0,7
GRT100,KPPATROL,Februari,Tsel Postpaid,10600,2056,521,63,31030,3178720,0,6
GRT087,KIDULGARUT,Februari,Tsel Postpaid,10600,2178,1137,74,20855,3366831,74,5
GRT038,MIRAMARE,Februari,Tsel Postpaid,16500,2032,484,58,24150,3140522,129,10
GRT060,DEPOKGRT,Februari,Tsel Postpaid,10600,1657,491,42,25251,2561470,0,5
GRT025,CILAWU,Februari,Tsel Postpaid,16500,2121,474,64,21983,3279229,0,10
GRT031,SAMARANG,Februari,Tsel Postpaid,23000,2912,937,84,44414,4501331,0,8
GRT023,PENDEYGRTCLK,Februari,Tsel Postpaid,16500,2917,1179,169,53023,4508642,714,8
GRT022,SUMADRA,Februari,Tsel Postpaid,23000,2641,480,65,26497,4082257,271,10
GRT021,SINGAJAYA,Februari,Tsel Postpaid,16500,2839,812,111,39859,4389691,537,11
GRT020,CISOMPET,Februari,Tsel Postpaid,16500,3053,1122,130,54596,4719524,0,8
GRT019,CIBALONGGRT,Februari,Tsel Postpaid,16500,2354,625,59,27350,3640134,370,9
GRT027,BUNGBULANG,Februari,Tsel Postpaid,16500,3097,1080,158,38642,4787865,0,10
KNG081,DSJAMBAR,Februari,Tsel Postpaid,13200,1680,338,24,16128,2670902,0,6
KNG040,CIPICUNG,Februari,Tsel Postpaid,10600,1885,295,22,14410,2996142,0,9
KNG096,PADAHURIP,Februari,Tsel Postpaid,16500,2685,1069,182,42871,4267128,767,10
KNG088,JLABDULLAH,Februari,Tsel Postpaid,10600,1730,410,28,14924,2748247,0,6
KNG061,CIREJA,Februari,Tsel Postpaid,10600,2072,301,29,14439,3292125,347,9
KNG026,KRGKANCANA,Februari,Tsel Postpaid,10600,1682,156,14,5977,4098006,631,6
KNG038,Sidamulya,Februari,Tsel Postpaid,10600,1730,409,35,19239,2749249,0,10
MJL175,LOJIKOBONG,Februari,Tsel Postpaid,10600,2339,466,45,23994,3649158,0,7
MJL218,SUKANIMJLK,Februari,Tsel Postpaid,16500,2809,607,74,23486,4382691,70,8
MJL162,BONGASSBJY,Februari,Tsel Postpaid,16500,2521,838,80,40962,3933222,365,10
MJL216,MUNDINGBARU,Februari,Tsel Postpaid,10600,1703,373,38,17199,2657712,0,9
KNG170,Dadawah,Februari,Tsel Postpaid,16500,2066,721,88,24376,3282670,0,10
KNG169,ANCARAN,Februari,Tsel Postpaid,10600,2257,488,41,20606,5628104,0,10
