Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total Down,Total RRU
TSK946,PASIRHUNISINDANGSARIDMT,Maret,TP Postpaid,10600,1668,395,37,19798,2650465,737,7
BDB269,JLRANCABOGOCIMAREMEDMT,Maret,TP Postpaid,10600,1943,495,27,32046,3002742,44,6
SUB386,CIHAMBULU,Maret,TP Postpaid,10600,2325,237,27,19998,3694518,0,6
SUB572,KPBANKONG,Maret,TP Postpaid,10600,1857,357,38,18680,2951089,68,8
CRB958,JLHULUBANTENGDMTMG,Maret,TP Postpaid,10600,2089,529,41,32771,3258823,0,7
BDS844,KPNAGROGMANDALAHAJI-TBG,Maret,TP Postpaid,10600,1504,159,15,8059,2302080,0,6
BDS024,PASIRMUNCANG,Maret,TP Postpaid,10600,2186,748,87,38038,3347218,0,10
BDS780,BOPANGAUBANPACETTBG,Maret,TP Postpaid,5500,2083,479,47,26415,2428778,543,7
CJR562,DSSUKANAGALIH,Maret,TP Postpaid,10600,1808,237,28,15697,2873220,0,9
CJR543,KPKENANGAN,Maret,TP Postpaid,7700,1696,465,32,25448,2695232,950,5
CJR566,MAKOBRIMOBCPNS,Maret,TP Postpaid,10600,1877,430,32,22619,2982872,0,12
TSK863,DSCILAMPUNGHILIRTBG,Maret,TP Postpaid,10600,1862,630,70,35160,2959114,0,10
BDB070,DSCIKAMELANG,Maret,TP Postpaid,10600,1688,322,29,22565,2608663,0,6
BDB231,SIRNASARICIBURUY,Maret,TP Postpaid,10600,1634,631,67,27335,2526008,0,10
BDB277,KOTABARUPUTRACMI,Maret,TP Postpaid,10600,2003,609,44,33137,3095739,0,7
TSK864,DSNNAGONGTBG,Maret,TP Postpaid,10600,1729,363,36,22076,2748041,896,9
BDB114,CISEREHCITATAH,Maret,TP Postpaid,10600,1495,224,17,10776,2310783,0,5
BDB024,CADASGROWONG,Maret,TP Postpaid,10600,1579,376,35,14375,2440725,0,7
BDB013,CIBACANGKDL,Maret,TP Postpaid,10600,2371,763,107,44915,3665392,0,10
BDG691,CIBACANGKLR,Maret,TP Postpaid,10600,2597,662,56,34830,4013420,0,7
BDG107,BUMIPRHYNG,Maret,TP Postpaid,10600,2554,1173,101,35818,3948465,0,9
BDB188,TIPARBARAT,Maret,TP Postpaid,10600,1516,316,29,13490,2344481,0,9
BDB157,TATACANDRARESMI,Maret,TP Postpaid,10600,2076,295,38,19639,3209342,0,10
BDG924,KPCIHALIWUNG,Maret,TP Postpaid,10600,1893,292,19,14800,2925914,0,6
BDG281,GUNUNGBENTAR,Maret,TP Postpaid,10600,1603,449,29,26953,2478752,0,5
BDB297,CIPADAJALURKAIDMTMG,Maret,TP Postpaid,6600,1396,112,16,7233,2157854,0,6
BDG225,BCAPDLARANG,Maret,TP Postpaid,10600,2329,713,60,39247,3598938,0,10
BDB194,JLRAYAKBP,Maret,TP Postpaid,10600,1787,512,44,25891,2762164,0,10
BDB203,ASRAMAKOMPITANK,Maret,TP Postpaid,10600,1763,431,43,25565,2725296,47,9
SUB677,KPPRATAMACIPALIKM112DMT,Maret,TP Postpaid,10600,1585,308,26,15872,2519613,0,6
SUB665,STASIUNPEGADENBARUTBG,Maret,TP Postpaid,10600,1454,345,33,18809,2309589,0,9
TSK930,KPPUTERANTBG,Maret,TP Postpaid,10600,1571,359,37,19014,2497253,0,5
TSK812,KPCISEMATBG,Maret,TP Postpaid,10600,1593,270,31,14395,2531595,530,10
