Site ID,Site Name,Month,Site Tipe,Daya Master,KWH,RRC Average,User Active Average,Payload,Cost,Total RRU
SMD193,PASIREUNGIT,Januari,TP Postpaid,10600,1551,235,22,12974,2420020,9
SMD158,JLSINDANGTMN,Januari,TP Postpaid,10600,2127,466,43,24281,3318738,11
SMD240,DSGEULAGTOMO,Januari,TP Postpaid,10600,1357,256,14,12587,2117825,9
BDS557,KPSEKEJENGKOL,Januari,TP Postpaid,10600,2289,666,66,29862,3505333,7
BDS554,CIBIRUHILIR,Januari,TP Postpaid,10600,2137,353,40,19105,3272319,9
BDS700,BOJONGSALAMTBG,Januari,TP Postpaid,10600,2049,647,50,36472,3137649,10
BDG188,JLNEGLASARI,Januari,TP Postpaid,10600,1894,461,61,20161,2899871,12
BDS171,BLOKNAMBO,Januari,TP Postpaid,10600,1934,568,39,18991,2962750,7
SMD307,DSNSUKARESMI,Januari,TP Postpaid,10600,1491,168,13,8761,2326949,9
SMD296,PURIJTNANGORINDAH,Januari,TP Postpaid,10600,1231,157,14,10595,1920981,7
BDS547,PANYAWANGANDMT,Januari,TP Postpaid,7700,2072,678,63,26253,3172978,8
SMD320,KPCIEURITTBG,Januari,TP Postpaid,10600,1522,291,27,13647,2374631,9
SMD321,DSNCILIANGDMT,Januari,TP Postpaid,10600,1841,254,30,11911,2872561,9
SMD322,KPKALIWANGIDMT,Januari,TP Postpaid,10600,2066,584,45,30098,3223437,7
BDS684,KPCIPEUTEUY,Januari,TP Postpaid,10600,1918,309,31,18041,2937389,6
BDS611,CINUNUKRAYA,Januari,TP Postpaid,10600,2120,462,34,25780,3246530,7
BDS610,JLRANCAKENDALDUA,Januari,TP Postpaid,7700,2917,917,101,48050,4467072,11
BDS606,SUKAMANAHUTARA,Januari,TP Postpaid,10600,55817,482,52,27316,3472653,6
BDS600,KPCITARIK,Januari,TP Postpaid,7700,76217,490,34,19948,3741978,7
BDS607,KPSUKAEURIH,Januari,TP Postpaid,10600,38066,346,34,19339,3021600,6
SMD175,DSNCIBALA,Januari,TP Postpaid,10600,2078,471,47,26723,3242441,7
BDS681,CISEUREHGIRANG,Januari,TP Postpaid,10600,2284,618,72,34048,3496375,10
BDS605,RAYAPACETKM3,Januari,TP Postpaid,10600,2449,675,76,38063,3750998,10
BDS679,KPJONGORDMT,Januari,TP Postpaid,10600,1975,563,48,28973,3024770,11
SMD272,SUMURKAWUNG,Januari,TP Postpaid,10600,2156,755,47,29962,3364189,9
BDS543,JLKAPTENSANGUN,Januari,TP Postpaid,7700,51350,729,55,39629,3753922,9
BDS678,KPTANGGEUNGRNCAEKEK,Januari,TP Postpaid,10600,2643,542,48,26130,4048040,10
BDG970,JLCIHAMPELAS76,Januari,TP Postpaid,7700,1813,462,35,21878,2776395,8
CMI021,BALICOMCJRAH,Januari,TP Postpaid,10600,3144,954,102,56692,4814972,9
BDG943,JLTAMANHOLIS,Januari,TP Postpaid,10600,1321,298,16,15676,2022956,3
BDG523,DULATIP,Januari,TP Postpaid,10600,1702,487,25,15430,2606734,6
BDG535,KPCIKADO,Januari,TP Postpaid,10600,1814,300,29,12821,2777927,4
BDK002,JLLEUWISARI,Januari,TP Postpaid,10600,708,247,17,12976,1084219,6
BDK041,JLDREHRLICH,Januari,TP Postpaid,7700,1617,543,48,7476,2476245,9
BDG980,CIHALANG,Januari,TP Postpaid,10600,2115,524,36,24589,3238781,9
BDK018,JLBAHUREKSA,Januari,TP Postpaid,10600,1400,338,22,16324,2143873,8
BDG992,KELSUKAASIH,Januari,TP Postpaid,10600,3514,694,66,39978,5391277,8
BDG990,RANCAKENDAL,Januari,TP Postpaid,10600,1526,274,19,14577,2336858,9
BDG960,BUKITJARIAN,Januari,TP Postpaid,10600,2056,624,44,30554,3147970,11
BDG680,SUKAMULYABDG,Januari,TP Postpaid,10600,2105,519,42,30246,3224202,7
BDG660,ABDULHAMID,Januari,TP Postpaid,10600,2239,252,15,12916,3428351,10
BDG662,HOLISCARINGN,Januari,TP Postpaid,10600,1673,494,28,21073,2562354,3
BDG665,SAWAHKURUNG,Januari,TP Postpaid,10600,1526,494,30,19606,2336889,11
BDG668,BABAKANASIH,Januari,TP Postpaid,10600,53109,580,55,24542,2719734,10
BDG723,JLHAJIJUANDA,Januari,TP Postpaid,10600,2615,1290,92,35050,4003599,9
BDG676,RAJAWALITMR,Januari,TP Postpaid,10600,1640,515,40,19876,2512753,9
BDG679,CIGONDEWHKLR,Januari,TP Postpaid,10600,2253,560,66,31551,3450204,11
BDG679,CIGONDEWHKLR,Januari,TP Postpaid,10600,2253,560,66,31551,3450204,11
BDG767,MARTADINATA,Januari,TP Postpaid,10600,2125,1261,80,37553,3254983,7
BDG705,CMBTCIHANJA,Januari,TP Postpaid,10600,2552,282,21,14827,3945482,7
BDG868,SUKAASIHKOPO,Januari,TP Postpaid,10600,1949,564,56,31308,2985567,10
BDK141,KPCIPAHEUTKDL,Januari,TP Postpaid,10600,1912,468,22,16666,2927497,4
BDG875,SURAPATI,Januari,TP Postpaid,10600,2231,653,41,27999,3416514,11
BDG870,CISITUINDAH,Januari,TP Postpaid,10600,2326,586,53,32729,3561994,5
BDK087,CINGKURAKKALER,Januari,TP Postpaid,10600,2388,648,64,37807,3656466,7
BDG614,SAPTAMARGA,Januari,TP Postpaid,10600,2154,525,43,26276,4289131,7
BDG617,JLPAJAJARAN,Januari,TP Postpaid,5500,61370,459,39,21013,6886534,9
BDG750,STIABUDIKM10,Januari,TP Postpaid,10600,2129,370,29,14037,3260129,10
BDG719,GARDUJATI,Januari,TP Postpaid,10600,2164,914,48,31754,3314584,5
BDK152,KOMPSAUYUNAN,Januari,TP Postpaid,10600,2666,676,65,31346,4081669,13
BDG627,DENKISELATAN,Januari,TP Postpaid,10600,1750,472,29,19572,2679919,11
